Sim	QM	forNTS	indicator	confidence
381	45	6109.9255144314	-1	3
382	46	6106.856274494859	-1	3
383	47	6101.750431870992	-1	3
384	48	6073.301224261611	-1	3
385	1	6047.495979806161	-1	3
386	2	6044.20474896481	-1	3
387	3	6049.733005593406	-1	3
388	4	6075.340656363514	-1	3
389	5	6068.088238314739	-1	3
390	6	6066.14510439744	-1	3
391	7	6097.095685566736	-1	3
392	8	6117.660804471704	-1	3
393	9	6105.499172967506	-1	3
394	10	6124.537293334839	-1	3
395	11	6138.636832470852	-1	3
396	12	6153.8527354570215	-1	3
397	13	6182.845297212201	-1	3
398	14	6227.1184255102025	-1	3
