Sim	Year	Month	QM	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4
622	2034	12	46	475.9935545695997	761.398544208332	1012.5545186281157	1205.7478074151811	5059.0	4996.1575292204	5116.9405171004	5076.416055704964	810.286336696	817.4675836154672	812.9498337087422	766.9963098421867	5534.9935545696	5757.556073428732	6129.495035728516	6282.163863120145
623	2034	12	47	548.7808032096	844.7607010528762	1085.7541168084883	1256.2394226798235	5037.0	5116.9405171004	5099.6472530844	5019.590265791107	627.9513860960001	679.7141317045473	668.7141024757216	838.4906035038122	5585.7808032096	5961.701218153276	6185.401369892888	6275.829688470931
624	2034	12	48	585.2585318495996	880.96001338542	1109.7858724874654	1276.709161138062	4937.0	5099.6472530844	4917.2400996644	4952.345794894807	662.3923382959999	656.5363502045873	829.5076030319764	882.2634510314508	5522.258531849599	5980.60726646982	6027.025972151865	6229.054956032869
625	2035	1	1	590.3821141696001	880.4674027144922	1112.7176034634194	1321.821615814094	4903.0	4917.2400996644	4840.4928373404	4909.70319830351	585.0033220959999	779.2176893397472	845.1667595922022	844.2381946189729	5493.3821141696	5797.707502378892	5953.210440803819	6231.524814117604
626	2035	1	2	943.4078513295999	1162.3889907306282	1357.3429071338653	1487.2757191524834	4924.0	4840.4928373404	4913.5482296144	4874.30097657962	826.965805096	878.7351500803472	869.0001425449911	929.0640493164424	5867.4078513296	6002.881828071028	6270.891136748265	6361.576695732103
627	2035	1	3	833.2976244895999	1097.6303525123642	1301.5485667682651	1446.9711862668496	4961.0	4913.5482296144	4942.8454507004	4862.20361581507	732.039038096	765.8682745709473	852.98813661553	767.043445019592	5794.2976244896	6011.178582126764	6244.394017468665	6309.17480208192
628	2035	1	4	1055.7242999296	1268.4771188761881	1423.3209401277281	1548.2864182900807	4966.0	4942.8454507004	4892.0381828104	4914.1177515087875	679.0143816960001	791.9271848844674	722.0014252774881	648.1437779970973	6021.7242999295995	6211.322569576588	6315.359122938128	6462.404169798869
629	2035	2	5	1068.8013661296	1265.740689894708	1435.5967133567779	1540.707812560679	5036.0	4892.0381828104	4967.1040591504	4955.360830228956	749.372898696	692.0844563438671	626.075325620739	608.5836482797697	6104.8013661296	6157.778872705108	6402.700772507178	6496.068642789634
630	2035	2	6	1198.9163615296	1382.8602431515483	1502.994601305694	1668.1651624840229	4982.0	4967.1040591504	5006.5311118464	5017.291282525148	618.831905696	574.5765348212673	570.5952205510177	802.8145846983185	6180.9163615296	6349.964302301948	6509.525713152094	6685.456445009171
631	2035	2	7	1025.0515379696	1220.618877049972	1466.230992436378	1568.0786541986213	4975.0	5006.5311118464	5021.7824936804	5001.342165848632	616.396074296	599.9956399997873	824.502000889769	847.7857827424748	6000.0515379696	6227.149988896372	6488.013486116778	6569.420820047253
632	2035	2	8	948.1740171296	1251.222767299308	1414.3207218873008	1551.6245655645018	4945.0	5021.7824936804	4966.3432694304	5075.353063345811	560.582768296	796.7935427305872	827.3464531210495	1094.2647557431558	5893.1740171296	6273.005260979708	6380.6639913177005	6626.977628910313
633	2035	3	9	929.8359787695999	1160.6884712936521	1370.2455955558685	1505.5503185362968	4984.0	4966.3432694304	5053.8623809404	5131.432283682411	794.551183296	825.7700056335873	1093.101878702434	1546.1741702129234	5913.8359787696	6127.031740724053	6424.107976496269	6636.982602218708
634	2035	3	10	1562.2779157696	1687.172234273852	1732.1927394603713	1820.1706158948277	5034.0	5053.8623809404	5169.9154320304	5171.203381159299	890.406468296	1138.5432952705871	1579.6943352962776	2132.7585001674524	6596.2779157696	6741.034615214252	6902.1081714907705	6991.373997054126
635	2035	3	11	2100.8915354496003	2058.6920269739803	2053.658685094076	2024.0284237691592	4993.0	5169.9154320304	5136.584858880399	5294.608868769291	1514.989199496	1844.3473568984273	2327.981572947488	2449.331929671185	7093.8915354496	7228.60745900438	7190.243543974475	7318.63729253845
636	2035	3	12	1609.2973042496	1699.0050434464601	1770.4064491137551	1774.5105891462645	5138.0	5136.584858880399	5276.4553710304	5204.558940711571	1559.587133896	2127.7863985445074	2301.656619311655	2495.2448993723156	6747.2973042496	6835.589902326859	7046.861820144155	6979.069529857836
637	2035	4	13	1599.6725428496	1692.01515680602	1718.4509523171826	1661.6324601694714	5242.0	5276.4553710304	5264.5190729804	5376.6458823724915	1648.030248896	1964.3733251875074	2246.4456199321075	2304.7944008446857	6841.6725428496	6968.47052783642	6982.970025297583	7038.278342541963
638	2035	4	14	1823.6347679695996	1822.3226091279719	1735.9137634395966	1785.4848343488943	5329.0	5264.5190729804	5406.5332673304	5382.800788531651	1550.215663096	1955.2800753959473	2090.014188066795	2175.1606329837755	7152.634767969599	7086.841682108372	7142.447030769997	7168.285622880545
639	2035	4	15	1595.1625482496001	1556.6434276888601	1657.2839893243984	1756.4134931797462	5324.0	5406.5332673304	5416.6335398204	5543.256419197932	1725.8880366960002	1928.7445461554673	2056.1990022059704	2005.9358540972441	6919.1625482496	6963.1766950192605	7073.917529144798	7299.669912377678
640	2035	4	16	1358.6580822895999	1501.037775944244	1644.6777924385756	1597.8047401718525	5393.0	5416.6335398204	5535.558696740401	5544.7931419802435	1635.3901526959999	1849.9618622666671	1853.803647419314	1751.8002887802431	6751.658082289599	6917.6713157646445	7180.236489178977	7142.597882152096
641	2035	5	17	1199.3544500896	1406.5951343021243	1427.5456851477654	1458.5035436072596	5443.0	5535.558696740401	5559.7903845304	5568.720420186341	1485.8473316959999	1597.8199598744673	1562.972208293806	1430.3447128972985	6642.3544500896005	6942.153831042525	6987.336069678166	7027.2239637936
642	2035	5	18	1138.7525122896	1216.1694573422442	1307.3429463490663	1402.991438579393	5474.0	5559.7903845304	5533.7058334804005	5545.307839011291	1229.835706496	1304.2679868758273	1239.509812390067	1134.8282566602134	6612.7525122896	6775.959841872644	6841.048779829467	6948.299277590684
